Name,TEMPRO,Tm,NBsTem_Tm,TEMPRO_original
4IDL_1|Chain A|Single Domain Antibody VHH A9|Lama glama (9844),56.16537,46.75,61.03,47.327385
"4TYU_1|Chains A, B|Single Domain Antibody|Lama glama (9844)",82.1492,85.1,81,79.11212
"4U05_1|Chains A, B|Single Domain Antibody|Lama glama (9844)",84.161896,84,80.08,81.013985
"4W68_1|Chains A, B|Single domain antibody|Lama glama (9844)",63.77714,88,73.28,61.375538
4W70_1|Chain A|Single Domain Antibody|Lama glama (9844),63.777115,60,73.28,54.786716
"5SV3_1|Chains A, C|Anti-Ricin A-chain Single Domain Antibody (sdAb) A3C8|Lama glama (9844)",66.76343,69.3,69.77,57.038395
